FieldID,RA deg,Dec Deg,l,b,nVisits,expLen,Type,AltType
LMC-2,62.20759047,-68.41711451,281.6999,-39.5899,15,4,magclouds,
LMC-3,71.522682765,-75.3739112,287.8668,-33.9233,15,4,magclouds,
LMC-4,72.879324945,-68.77774851,280.1659,-35.8769,15,4,magclouds,
LMC-5,73.925560875,-71.27835188,282.9392,-34.7544,15,4,magclouds,
LMC-6,78.05425599,-65.71411097,275.9262,-34.6944,15,4,magclouds,
LMC-7,78.44132271,-62.55358653,272.0922,-35.0463,15,4,magclouds,
LMC-11,85.119274125,-63.59269756,272.987,-31.9387,15,4,magclouds,
LMC-12,86.221846215,-60.43626349,269.2642,-31.4896,15,4,magclouds,
LMC-14,88.3877466,-71.0306493,281.5675,-30.233,15,4,magclouds,
LMC-15,92.3200854,-63.64270115,273.0769,-28.7412,15,4,magclouds,
LMC-17,98.231867985,-70.36684734,280.8591,-26.9749,15,4,magclouds,
ORIONA,84.100046715,-5.100047357,208.8717,-19.003,16,2,yso,
010+12,261.1410555,-14.14579786,10,12,18,4,bulge,
010-12,283.57517535,-25.72160935,10,-12,18,4,bulge,
015-12,285.79458645,-21.27421784,15,-12,18,4,bulge,
020-04,280.52036115,-13.32626575,20,-4,18,4,bulge,
N5634SGR2,216.37241955,-5.657541474,341.17,50.1,18,4,sgr,
IC348,55.900144305,31.99999457,160.4345,-18.0587,18,4,cluster_oc,
N6819,294.85340865,39.30554027,73.02,8.38,18,2,cluster_oc,
ORIONB,83.550018855,-5.300008818,208.7975,-19.5819,18,2,yso,
NGC2264,100.32155421,9.750910589,203.1,2.2,18,4,yso,
ORIONB-A,86.66162658,0.137955058,205.261,-14.31,18,1,yso,
ORIONB-B,85.415728485,-2.124716219,206.73,-16.47,18,2,yso,
LAMBDAORI-A,84.13342137,10.34503736,194.87,-11.49,18,2,yso,
340-10,263.91376155,-51.12629797,340,-10,18,4,bulge,
340-12,266.69922345,-52.13183399,340,-12,18,4,bulge,
350+12,248.54301435,-29.87737278,350,12,18,4,bulge,
GALCEN,266.4049962,-28.9361724,0,0,15,1,bulge,
M68,189.86697315,-26.7440061,299.6262,36.0509,18,4,cluster_gc,
N2808,136.526371425,-64.51856888,281.5,-11.5,18,4,cluster_gc,
N288,13.18893891,-26.58303037,151.3353,-89.3806,18,4,cluster_gc,
N3201,154.4030301,-46.41202511,277.2283,8.6406,18,4,cluster_gc,
SGRC-1,281.99981805,-29.9999553,5.4244,-12.4993,18,4,sgr,
